OrderID,accm_txn_create_time,accm_txn_complete_time,txn_process_time_hours
O10346,04:13.0,NULL,NULL
O10347,04:13.0,NULL,NULL
O10348,04:13.0,NULL,NULL
O10349,04:13.0,NULL,NULL
O10350,04:13.0,NULL,NULL
O10351,04:13.0,NULL,NULL
O10352,04:13.0,NULL,NULL
O10353,04:13.0,NULL,NULL
O10354,04:13.0,NULL,NULL
O10355,04:13.0,NULL,NULL
O10356,04:13.0,NULL,NULL
O10357,04:13.0,NULL,NULL
O10358,04:13.0,NULL,NULL
O10359,04:13.0,NULL,NULL
O10360,04:13.0,NULL,NULL
O10361,04:13.0,NULL,NULL
O10362,04:13.0,NULL,NULL
O10363,04:13.0,NULL,NULL
O10364,04:13.0,NULL,NULL
O10365,04:13.0,NULL,NULL
O10366,04:13.0,NULL,NULL
O10367,04:13.0,NULL,NULL
O10368,04:13.0,NULL,NULL
O10369,04:13.0,NULL,NULL
O10370,04:13.0,NULL,NULL
O10371,04:13.0,NULL,NULL
O10372,04:13.0,NULL,NULL
O10373,04:13.0,NULL,NULL
O10374,04:13.0,NULL,NULL
O10375,04:13.0,NULL,NULL
O10376,04:13.0,NULL,NULL
O10377,04:13.0,NULL,NULL
O10378,04:13.0,NULL,NULL
O10379,04:13.0,NULL,NULL
O10380,04:13.0,NULL,NULL
O10381,04:13.0,NULL,NULL
O10382,04:13.0,NULL,NULL
O10383,04:13.0,NULL,NULL
O10384,04:13.0,NULL,NULL
O10385,04:13.0,NULL,NULL
O10386,04:13.0,NULL,NULL
O10387,04:13.0,NULL,NULL
O10388,04:13.0,NULL,NULL
O10389,04:13.0,NULL,NULL
O10390,04:13.0,NULL,NULL
O10391,04:13.0,NULL,NULL
O10392,04:13.0,NULL,NULL
O10393,04:13.0,NULL,NULL
O10394,04:13.0,NULL,NULL
O10395,04:13.0,NULL,NULL
O10396,04:13.0,NULL,NULL
O10397,04:13.0,NULL,NULL
O10398,04:13.0,NULL,NULL
O10399,04:13.0,NULL,NULL
O10400,04:13.0,NULL,NULL
O10401,04:13.0,NULL,NULL
O10402,04:13.0,NULL,NULL
O10403,04:13.0,NULL,NULL
O10404,04:13.0,NULL,NULL
O10405,04:13.0,NULL,NULL
O10406,04:13.0,NULL,NULL
O10407,04:13.0,NULL,NULL
O10408,04:13.0,NULL,NULL
O10409,04:13.0,NULL,NULL
O10410,04:13.0,NULL,NULL
O10411,04:13.0,NULL,NULL
O10412,04:13.0,NULL,NULL
O10413,04:13.0,NULL,NULL
O10414,04:13.0,NULL,NULL
O10415,04:13.0,NULL,NULL
O10416,04:13.0,NULL,NULL
O10417,04:13.0,NULL,NULL
O10418,04:13.0,NULL,NULL
O10419,04:13.0,NULL,NULL
O10420,04:13.0,NULL,NULL
O10421,04:13.0,NULL,NULL
O10422,04:13.0,NULL,NULL
O10423,04:13.0,NULL,NULL
O10424,04:13.0,NULL,NULL
O10425,04:13.0,NULL,NULL
O10426,04:13.0,NULL,NULL
O10427,04:13.0,NULL,NULL
O10428,04:13.0,NULL,NULL
O10429,04:13.0,NULL,NULL
O10430,04:13.0,NULL,NULL
O10431,04:13.0,NULL,NULL
O10432,04:13.0,NULL,NULL
O10433,04:13.0,NULL,NULL
O10434,04:13.0,NULL,NULL
O10435,04:13.0,NULL,NULL
O10436,04:13.0,NULL,NULL
O10437,04:13.0,NULL,NULL
O10438,04:13.0,NULL,NULL
O10439,04:13.0,NULL,NULL
O10440,04:13.0,NULL,NULL
O10441,04:13.0,NULL,NULL
O10442,04:13.0,NULL,NULL
O10443,04:13.0,NULL,NULL
O10444,04:13.0,NULL,NULL
O10445,04:13.0,NULL,NULL
O10446,04:13.0,NULL,NULL
O10447,04:13.0,NULL,NULL
O10448,04:13.0,NULL,NULL
O10449,04:13.0,NULL,NULL
O10450,04:13.0,NULL,NULL
O10451,04:13.0,NULL,NULL
O10452,04:13.0,NULL,NULL
O10453,04:13.0,NULL,NULL
O10454,04:13.0,NULL,NULL
O10455,04:13.0,NULL,NULL
O10456,04:13.0,NULL,NULL
O10457,04:13.0,NULL,NULL
O10458,04:13.0,NULL,NULL
O10459,04:13.0,NULL,NULL
O10460,04:13.0,NULL,NULL
O10461,04:13.0,NULL,NULL
O10462,04:13.0,NULL,NULL
O10463,04:13.0,NULL,NULL
O10464,04:13.0,NULL,NULL
O10465,04:13.0,NULL,NULL
O10466,04:13.0,NULL,NULL
O10467,04:13.0,NULL,NULL
O10468,04:13.0,NULL,NULL
O10469,04:13.0,NULL,NULL
O10470,04:13.0,NULL,NULL
O10471,04:13.0,NULL,NULL
O10472,04:13.0,NULL,NULL
O10473,04:13.0,NULL,NULL
O10474,04:13.0,NULL,NULL
O10475,04:13.0,NULL,NULL
O10476,04:13.0,NULL,NULL
O10477,04:13.0,NULL,NULL
O10478,04:13.0,NULL,NULL
O10479,04:13.0,NULL,NULL
O10480,04:13.0,NULL,NULL
O10481,04:13.0,NULL,NULL
O10482,04:13.0,NULL,NULL
O10483,04:13.0,NULL,NULL
O10484,04:13.0,NULL,NULL
O10485,04:13.0,NULL,NULL
O10486,04:13.0,NULL,NULL
O10487,04:13.0,NULL,NULL
O10488,04:13.0,NULL,NULL
O10489,04:13.0,NULL,NULL
O10490,04:13.0,NULL,NULL
O10491,04:13.0,NULL,NULL
O10492,04:13.0,NULL,NULL
O10493,04:13.0,NULL,NULL
O10494,04:13.0,NULL,NULL
O10495,04:13.0,NULL,NULL
O10496,04:13.0,NULL,NULL
O10497,04:13.0,NULL,NULL
O10498,04:13.0,NULL,NULL
O10499,04:13.0,NULL,NULL
O10500,04:13.0,NULL,NULL
O10501,04:13.0,NULL,NULL
O10502,04:13.0,NULL,NULL
O10503,04:13.0,NULL,NULL
O10504,04:13.0,NULL,NULL
O10505,04:13.0,NULL,NULL
O10506,04:13.0,NULL,NULL
O10507,04:13.0,NULL,NULL
O10508,04:13.0,NULL,NULL
O10509,04:13.0,NULL,NULL
O10510,04:13.0,NULL,NULL
O10511,04:13.0,NULL,NULL
O10512,04:13.0,NULL,NULL
O10513,04:13.0,NULL,NULL
O10514,04:13.0,NULL,NULL
O10515,04:13.0,NULL,NULL
O10516,04:13.0,NULL,NULL
O10517,04:13.0,NULL,NULL
O10518,04:13.0,NULL,NULL
O10519,04:13.0,NULL,NULL
O10520,04:13.0,NULL,NULL
O10521,04:13.0,NULL,NULL
O10522,04:13.0,NULL,NULL
O10523,04:13.0,NULL,NULL
O10524,04:13.0,NULL,NULL
O10525,04:13.0,NULL,NULL
O10526,04:13.0,NULL,NULL
O10527,04:13.0,NULL,NULL
O10528,04:13.0,NULL,NULL
O10529,04:13.0,NULL,NULL
O10530,04:13.0,NULL,NULL
O10531,04:13.0,NULL,NULL
O10532,04:13.0,NULL,NULL
O10533,04:13.0,NULL,NULL
O10534,04:13.0,NULL,NULL
O10535,04:13.0,NULL,NULL
O10536,04:13.0,NULL,NULL
O10537,04:13.0,NULL,NULL
O10538,04:13.0,NULL,NULL
O10539,04:13.0,NULL,NULL
O10540,04:13.0,NULL,NULL
O10541,04:13.0,NULL,NULL
O10542,04:13.0,NULL,NULL
O10543,04:13.0,NULL,NULL
O10544,04:13.0,NULL,NULL
O10545,04:13.0,NULL,NULL
O10546,04:13.0,NULL,NULL
O10547,04:13.0,NULL,NULL
O10548,04:13.0,NULL,NULL
O10549,04:13.0,NULL,NULL
O10550,04:13.0,NULL,NULL
O10551,04:13.0,NULL,NULL
O10552,04:13.0,NULL,NULL
O10553,04:13.0,NULL,NULL
O10554,04:13.0,NULL,NULL
O10555,04:13.0,NULL,NULL
O10556,04:13.0,NULL,NULL
O10557,04:13.0,NULL,NULL
O10558,04:13.0,NULL,NULL
O10559,04:13.0,NULL,NULL
O10560,04:13.0,NULL,NULL
O10561,04:13.0,NULL,NULL
O10562,04:13.0,NULL,NULL
O10563,04:13.0,NULL,NULL
O10564,04:13.0,NULL,NULL
O10565,04:13.0,NULL,NULL
O10566,04:13.0,NULL,NULL
O10567,04:13.0,NULL,NULL
O10568,04:13.0,NULL,NULL
O10569,04:13.0,NULL,NULL
O10570,04:13.0,NULL,NULL
O10571,04:13.0,NULL,NULL
O10572,04:13.0,NULL,NULL
O10573,04:13.0,NULL,NULL
O10574,04:13.0,NULL,NULL
O10575,04:13.0,NULL,NULL
O10576,04:13.0,NULL,NULL
O10577,04:13.0,NULL,NULL
O10578,04:13.0,NULL,NULL
O10579,04:13.0,NULL,NULL
O10580,04:13.0,NULL,NULL
O10581,04:13.0,NULL,NULL
O10582,04:13.0,NULL,NULL
O10583,04:13.0,NULL,NULL
O10584,04:13.0,NULL,NULL
O10585,04:13.0,NULL,NULL
O10586,04:13.0,NULL,NULL
O10587,04:13.0,NULL,NULL
O10588,04:13.0,NULL,NULL
O10589,04:13.0,NULL,NULL
O10590,04:13.0,NULL,NULL
O10591,04:13.0,NULL,NULL
O10592,04:13.0,NULL,NULL
O10593,04:13.0,NULL,NULL
O10594,04:13.0,NULL,NULL
O10595,04:13.0,NULL,NULL
O10596,04:13.0,NULL,NULL
O10597,04:13.0,NULL,NULL
O10598,04:13.0,NULL,NULL
O10599,04:13.0,NULL,NULL
O10600,04:13.0,NULL,NULL
O10601,04:13.0,NULL,NULL
O10602,04:13.0,NULL,NULL
O10603,04:13.0,NULL,NULL
O10604,04:13.0,NULL,NULL
O10605,04:13.0,NULL,NULL
O10606,04:13.0,NULL,NULL
O10607,04:13.0,NULL,NULL
O10608,04:13.0,NULL,NULL
O10609,04:13.0,NULL,NULL
O10610,04:13.0,NULL,NULL
O10611,04:13.0,NULL,NULL
O10612,04:13.0,NULL,NULL
O10613,04:13.0,NULL,NULL
O10614,04:13.0,NULL,NULL
O10615,04:13.0,NULL,NULL
O10616,04:13.0,NULL,NULL
O10617,04:13.0,NULL,NULL
O10618,04:13.0,NULL,NULL
O10619,04:13.0,NULL,NULL
O10620,04:13.0,NULL,NULL
O10621,04:13.0,NULL,NULL
O10622,04:13.0,NULL,NULL
O10623,04:13.0,NULL,NULL
O10624,04:13.0,NULL,NULL
O10625,04:13.0,NULL,NULL
O10626,04:13.0,NULL,NULL
O10627,04:13.0,NULL,NULL
O10628,04:13.0,NULL,NULL
O10629,04:13.0,NULL,NULL
O10630,04:13.0,NULL,NULL
O10631,04:13.0,NULL,NULL
O10632,04:13.0,NULL,NULL
O10633,04:13.0,NULL,NULL
O10634,04:13.0,NULL,NULL
O10635,04:13.0,NULL,NULL
O10636,04:13.0,NULL,NULL
O10637,04:13.0,NULL,NULL
O10638,04:13.0,NULL,NULL
O10639,04:13.0,NULL,NULL
O10640,04:13.0,NULL,NULL
O10641,04:13.0,NULL,NULL
O10642,04:13.0,NULL,NULL
O10643,04:13.0,NULL,NULL
O10644,04:13.0,NULL,NULL
O10645,04:13.0,NULL,NULL
O10646,04:13.0,NULL,NULL
O10647,04:13.0,NULL,NULL
O10648,04:13.0,NULL,NULL
O10649,04:13.0,NULL,NULL
O10650,04:13.0,NULL,NULL
O10651,04:13.0,NULL,NULL
O10652,04:13.0,NULL,NULL
O10653,04:13.0,NULL,NULL
O10654,04:13.0,NULL,NULL
O10655,04:13.0,NULL,NULL
O10656,04:13.0,NULL,NULL
O10657,04:13.0,NULL,NULL
O10658,04:13.0,NULL,NULL
O10659,04:13.0,NULL,NULL
O10660,04:13.0,NULL,NULL
O10661,04:13.0,NULL,NULL
O10662,04:13.0,NULL,NULL
O10663,04:13.0,NULL,NULL
O10664,04:13.0,NULL,NULL
O10665,04:13.0,NULL,NULL
O10666,04:13.0,NULL,NULL
O10667,04:13.0,NULL,NULL
O10668,04:13.0,NULL,NULL
O10669,04:13.0,NULL,NULL
O10670,04:13.0,NULL,NULL
O10671,04:13.0,NULL,NULL
O10672,04:13.0,NULL,NULL
O10673,04:13.0,NULL,NULL
O10674,04:13.0,NULL,NULL
O10675,04:13.0,NULL,NULL
O10676,04:13.0,NULL,NULL
O10677,04:13.0,NULL,NULL
O10678,04:13.0,NULL,NULL
O10679,04:13.0,NULL,NULL
O10680,04:13.0,NULL,NULL
O10681,04:13.0,NULL,NULL
O10682,04:13.0,NULL,NULL
O10683,04:13.0,NULL,NULL
O10684,04:13.0,NULL,NULL
O10685,04:13.0,NULL,NULL
O10686,04:13.0,NULL,NULL
O10687,04:13.0,NULL,NULL
O10688,04:13.0,NULL,NULL
O10689,04:13.0,NULL,NULL
O10690,04:13.0,NULL,NULL
O10691,04:13.0,NULL,NULL
O10692,04:13.0,NULL,NULL
O10693,04:13.0,NULL,NULL
O10694,04:13.0,NULL,NULL
O10695,04:13.0,NULL,NULL
O10696,04:13.0,NULL,NULL
O10697,04:13.0,NULL,NULL
O10698,04:13.0,NULL,NULL
O10699,04:13.0,NULL,NULL
O10700,04:13.0,NULL,NULL
O10701,04:13.0,NULL,NULL
O10702,04:13.0,NULL,NULL
O10703,04:13.0,NULL,NULL
O10704,04:13.0,NULL,NULL
O10705,04:13.0,NULL,NULL
O10706,04:13.0,NULL,NULL
O10707,04:13.0,NULL,NULL
O10708,04:13.0,NULL,NULL
O10709,04:13.0,NULL,NULL
O10710,04:13.0,NULL,NULL
O10711,04:13.0,NULL,NULL
O10712,04:13.0,NULL,NULL
O10713,04:13.0,NULL,NULL
O10714,04:13.0,NULL,NULL
O10715,04:13.0,NULL,NULL
O10716,04:13.0,NULL,NULL
O10717,04:13.0,NULL,NULL
O10718,04:13.0,NULL,NULL
O10719,04:13.0,NULL,NULL
O10720,04:13.0,NULL,NULL
O10721,04:13.0,NULL,NULL
O10722,04:13.0,NULL,NULL
O10723,04:13.0,NULL,NULL
O10724,04:13.0,NULL,NULL
O10725,04:13.0,NULL,NULL
O10726,04:13.0,NULL,NULL
O10727,04:13.0,NULL,NULL
O10728,04:13.0,NULL,NULL
O10729,04:13.0,NULL,NULL
O10730,04:13.0,NULL,NULL
O10731,04:13.0,NULL,NULL
O10732,04:13.0,NULL,NULL
O10733,04:13.0,NULL,NULL
O10734,04:13.0,NULL,NULL
O10735,04:13.0,NULL,NULL
O10736,04:13.0,NULL,NULL
O10737,04:13.0,NULL,NULL
O10738,04:13.0,NULL,NULL
O10739,04:13.0,NULL,NULL
O10740,04:13.0,NULL,NULL
O10741,04:13.0,NULL,NULL
O10742,04:13.0,NULL,NULL
O10743,04:13.0,NULL,NULL
O10744,04:13.0,NULL,NULL
O10745,04:13.0,NULL,NULL
O10746,04:13.0,NULL,NULL
O10747,04:13.0,NULL,NULL
O10748,04:13.0,NULL,NULL
O10749,04:13.0,NULL,NULL
O10750,04:13.0,NULL,NULL
O10751,04:13.0,NULL,NULL
O10752,04:13.0,NULL,NULL
O10753,04:13.0,NULL,NULL
O10754,04:13.0,NULL,NULL
O10755,04:13.0,NULL,NULL
O10756,04:13.0,NULL,NULL
O10757,04:13.0,NULL,NULL
O10758,04:13.0,NULL,NULL
O10759,04:13.0,NULL,NULL
O10760,04:13.0,NULL,NULL
O10761,04:13.0,NULL,NULL
O10762,04:13.0,NULL,NULL
O10763,04:13.0,NULL,NULL
O10764,04:13.0,NULL,NULL
O10765,04:13.0,NULL,NULL
O10766,04:13.0,NULL,NULL
O10767,04:13.0,NULL,NULL
O10768,04:13.0,NULL,NULL
O10769,04:13.0,NULL,NULL
O10770,04:13.0,NULL,NULL
O10771,04:13.0,NULL,NULL
O10772,04:13.0,NULL,NULL
O10773,04:13.0,NULL,NULL
